  0.5655    0.458   0.0186   0.1651   0.2686
  0.0142    0.132   0.3059   0.0780   0.1726
  1.2191    0.366   0.0053   0.1772   0.5858
  0.2451    0.709   0.1335   0.2927   0.2288
  0.0426    0.490   0.2735   0.2554   0.2363
  1.6869    0.008   0.4526   0.1648   0.1855
  1.4619    0.066   0.6578   0.2806   0.2200
  2.7032    0.000   0.3155   0.1611   0.0723
  2.0190    0.005   0.5539   0.1907   0.3185
  1.8424    0.008   0.5339   0.2041   0.2959
  2.0922    0.000   0.3521   0.1662   0.1174
  2.2561    0.000   0.3220   0.1694   0.0940
