  0.4359    0.491   0.0268   0.0121   0.0000
  0.0151    0.127   0.2388   0.0011   0.0000
  0.8797    0.486   0.0100   0.0099   0.0000
  0.2924    0.642   0.0873   0.0188   0.0000
  0.0489    0.467   0.1965   0.0015   0.0000
  1.6223    0.008   0.5108   0.4108   0.0000
  1.3944    0.061   0.5528   0.3080   0.0000
  2.8136    0.000   0.7987   0.8040   0.0000
  1.9551    0.006   0.5159   0.4114   0.0000
  1.7378    0.009   0.4718   0.3693   0.0000
  2.0432    0.000   0.4533   0.4265   0.0000
  2.2056    0.000   0.5255   0.5350   0.0000
