  0.4105    0.499   0.0293   0.0291   0.2930
  0.0142    0.127   0.2730   0.0027   0.0564
  0.8606    0.493   0.0104   0.0246   1.1276
  0.2455    0.661   0.1189   0.0456   0.1223
  0.0416    0.462   0.2549   0.0051   0.1466
  1.6157    0.009   0.5204   0.3617   0.0583
  1.3802    0.062   0.5998   0.2850   0.0825
  2.8211    0.000   0.7480   0.7255   0.0108
  1.9514    0.006   0.5751   0.3587   0.1284
  1.7314    0.009   0.5302   0.3212   0.1293
  2.0408    0.000   0.4376   0.3852   0.0071
  2.2067    0.000   0.5016   0.4833   0.0054
