  0.6245    0.436   0.0158   0.2469   0.4548
  0.0152    0.133   0.2605   0.1229   0.0685
  1.2364    0.360   0.0051   0.2691   1.5242
  0.2495    0.711   0.1304   0.4510   0.1334
  0.0435    0.493   0.2670   0.3988   0.1629
  1.6985    0.007   0.4259   0.2384   0.0854
  1.4708    0.067   0.6571   0.4232   0.0953
  2.6939    0.000   0.3188   0.2297   0.0146
  2.0225    0.005   0.5138   0.2824   0.1728
  1.8492    0.008   0.5140   0.3047   0.1722
  2.0939    0.000   0.3179   0.2449   0.0095
  2.2591    0.000   0.3067   0.2476   0.0072
